title,url,time,source
【江浙沪】端午节期间有什么好看的展览？,https://www.thepaper.cn/newsDetail_forward_33408955,2026-06-19 11:31:57,博物馆 | 看展览
端午直接冲，上海这座博物馆把“邮轮”搬进了展厅,https://www.thepaper.cn/newsDetail_forward_33401761,2026-06-19 11:31:56,中国航海博物馆
西安市委书记带队学习城市更新，为什么去了上海？,https://www.thepaper.cn/newsDetail_forward_33417197,2026-06-19 11:27:59,澎湃新闻
端午假期首日，上海接待游客285.71万人次,https://www.thepaper.cn/newsDetail_forward_33416809,2026-06-19 11:14:21,澎湃新闻
人工智能时代谁在定义体育的温度？——记上海体育大学新闻与传播学院2026届优秀毕业设计作品展,https://www.thepaper.cn/newsDetail_forward_33416784,2026-06-19 10:27:30,澎湃上海
包粽子、做香囊……虹口这些学员体验端午民俗“花样”多！,https://www.thepaper.cn/newsDetail_forward_33417190,2026-06-19 09:42:00,上海虹口
粽香迎端午！徐汇养老院里氛围感拉满，文化养老暖人心,https://www.thepaper.cn/newsDetail_forward_33417228,2026-06-19 09:30:00,上海徐汇
首席“老娘舅”坐镇！黄浦这间“解忧室”火了,https://www.thepaper.cn/newsDetail_forward_33417222,2026-06-19 09:27:00,上海黄浦
北京车展“两年一届”变“一年一届”，明年北京、上海车展仅相差半个月；业内人士：车企营销与资金压力增加,https://www.thepaper.cn/newsDetail_forward_33417365,2026-06-19 09:13:00,红星资本局
裴金佳赴上海市调研退役军人工作,https://www.thepaper.cn/newsDetail_forward_33416901,2026-06-19 08:51:00,上海徐汇
孙茂发：手腕疼、手指麻≠单纯疲劳，或是“鼠标手”？,https://www.thepaper.cn/newsDetail_forward_33408946,2026-06-19 08:14:25,上海徐浦中医医院
上海交通大学医学院附属第九人民医院发文：头颈部鳞状细胞癌治疗理论基础,https://www.thepaper.cn/newsDetail_forward_33416104,2026-06-19 08:14:20,转化医学网
丁真首演电影感受如何？演的“白马”简直就是本人,https://www.thepaper.cn/newsDetail_forward_33416773,2026-06-19 08:13:44,澎湃新闻
精准赋能，虹口这场沙龙助力企业涉外引才,https://www.thepaper.cn/newsDetail_forward_33417191,2026-06-19 08:00:00,上海虹口
上海体彩携手久事体育“燃情世界杯·竞彩嘉年华”精彩启幕,https://www.thepaper.cn/newsDetail_forward_33416534,2026-06-19 07:51:49,澎湃新闻
中考倒计时！经常做做这个放松小练习，你稳，孩子更稳,https://www.thepaper.cn/newsDetail_forward_33397674,2026-06-19 07:49:30,澎湃新闻
晒出你的“绿色账单”，2026上海节能宣传周邀你接力,https://www.thepaper.cn/newsDetail_forward_33417224,2026-06-19 07:42:00,上海黄浦
上海端午这么好逛！市集、古镇、非遗、花海大盘点,https://www.thepaper.cn/newsDetail_forward_33417196,2026-06-19 07:14:00,上海长宁
可测原子层间万亿分之一米！上海科研赋能材料精细表征,https://www.thepaper.cn/newsDetail_forward_33416739,2026-06-19 07:02:00,上海科技
胡歌、雷佳音拍戏喝了一斤酒！雷佳音：我俩真的想活在戏里,https://www.thepaper.cn/newsDetail_forward_33416450,2026-06-19 07:01:45,澎湃新闻
割艾草、喝艾草咖啡，闵行这片“一人高”的艾草园火了,https://www.thepaper.cn/newsDetail_forward_33417171,2026-06-19 06:45:00,今日闵行
拒绝盗摄！长宁区开展专项普法宣传活动,https://www.thepaper.cn/newsDetail_forward_33417201,2026-06-19 05:49:00,上海长宁
外滩这场端午局，把骑手商户居民全聚齐了丨文明黄浦 人人有礼,https://www.thepaper.cn/newsDetail_forward_33417226,2026-06-19 05:48:00,上海黄浦
《给阿嬷的情书》导演蓝鸿春：谢谢上海观众贡献近亿票房,https://www.thepaper.cn/newsDetail_forward_33416129,2026-06-19 05:46:23,澎湃新闻
沿沪宁青年共聚半马苏河，“AI赋能青春经济”跨域协同新路径在普陀启航,https://www.thepaper.cn/newsDetail_forward_33416312,2026-06-19 05:45:00,上海普陀
中国致公党上海市虹口区第六次代表大会召开 金鑫当选区委主委,https://www.thepaper.cn/newsDetail_forward_33416308,2026-06-19 05:35:00,致公党上海市委
雷佳音谈《抓特务》中背胡歌：我师哥长得英俊骨密度高,https://www.thepaper.cn/newsDetail_forward_33416081,2026-06-19 05:24:15,澎湃新闻
松江法院祝您端午节快乐！,https://www.thepaper.cn/newsDetail_forward_33417189,2026-06-19 05:19:00,上海松江法院
胡歌谈《抓特务》“反派”冯静波：他这辈子都想当个好人,https://www.thepaper.cn/newsDetail_forward_33415898,2026-06-19 05:04:45,澎湃新闻
上海暑假一日游,https://www.thepaper.cn/newsDetail_forward_33415820,2026-06-19 04:57:09,ShanghaiLOOK
在上影节，重温导演怀斯曼对一种电影方法的长期劳作,https://www.thepaper.cn/newsDetail_forward_33404915,2026-06-19 04:56:37,澎湃新闻
沪滇文教联动赋能丽江非遗活化：产教融合解锁文旅创新新范式,https://www.thepaper.cn/newsDetail_forward_33415533,2026-06-19 04:39:45,澎湃云南
棍舞风华，上海少年展演呈现黄浦非遗“绞龙棍”风采,https://www.thepaper.cn/newsDetail_forward_33402653,2026-06-19 04:38:54,澎湃新闻
金爵主竞赛｜李雪琴王一通主演《大西洋》首映：荒诞而真诚,https://www.thepaper.cn/newsDetail_forward_33412586,2026-06-19 04:36:45,澎湃新闻
长三角议事厅｜上海构建企业出海综合服务枢纽的进阶路径,https://www.thepaper.cn/newsDetail_forward_33398023,2026-06-19 04:32:56,澎湃新闻
上外启动“百团千企”大调研，走进企业出海一线,https://www.thepaper.cn/newsDetail_forward_33415077,2026-06-19 04:32:44,澎湃新闻
热血相聚，虹口商场内上演世界杯球迷观赛盛宴,https://www.thepaper.cn/newsDetail_forward_33416317,2026-06-19 04:01:00,上海虹口
全球英才，同场竞技，徐汇区第四届“汇聚未来”创新创业大赛成功举办,https://www.thepaper.cn/newsDetail_forward_33416034,2026-06-19 04:00:00,上海徐汇
从主题快闪到创意美食，来长宁奔赴跨越年龄的足球狂欢……,https://www.thepaper.cn/newsDetail_forward_33416325,2026-06-19 03:59:00,上海长宁
东航开通上海至瑞士苏黎世直飞航线，每周执飞3班,https://www.thepaper.cn/newsDetail_forward_33415468,2026-06-19 03:45:35,澎湃新闻
直播丨第28届上海国际电影节金爵奖颁奖典礼,https://www.thepaper.cn/newsDetail_forward_33415087,2026-06-19 03:35:06,澎湃新闻
直播丨第28届上海国际电影节金爵奖颁奖典礼红毯仪式,https://www.thepaper.cn/newsDetail_forward_33415060,2026-06-19 03:29:03,澎湃新闻
今起试运营！上海好逛好买地+1！（谁懂啊！在上美影原厂址看《大闹天宫》XR展，我直接泪崩了……）,https://www.thepaper.cn/newsDetail_forward_33416029,2026-06-19 03:25:00,上海静安
端午假期上海虹桥机场口岸迎客流高峰，入境探亲、出境出游双向走高,https://www.thepaper.cn/newsDetail_forward_33414639,2026-06-19 03:16:59,澎湃新闻
上海共81所！教育部发布2026年最新高校名单,https://www.thepaper.cn/newsDetail_forward_33415353,2026-06-19 03:06:00,上海杨浦
端午也能“定制”？社区游园会的12项服务让邻居秒变家人｜文明黄浦 人人有礼,https://www.thepaper.cn/newsDetail_forward_33416344,2026-06-19 02:51:00,上海黄浦
端午假期遇中考、景区大客流及世界杯观赛季，上海公安优化勤务部署全力护航,https://www.thepaper.cn/newsDetail_forward_33414622,2026-06-19 02:42:54,澎湃新闻
陆家嘴论坛共议沪港协同：“中国指数”“新能源货币”成焦点,https://www.thepaper.cn/newsDetail_forward_33414866,2026-06-19 02:15:33,国际金融报
快讯！上海成品油价下调,https://www.thepaper.cn/newsDetail_forward_33415376,2026-06-19 02:06:00,上海市莘庄工业区
闵行这条公交环线调整线路→,https://www.thepaper.cn/newsDetail_forward_33415369,2026-06-19 02:06:00,上海市莘庄工业区
老上海端午知识考题！你能拿满分吗？,https://www.thepaper.cn/newsDetail_forward_33416316,2026-06-19 01:55:00,上海虹口
青浦区健康积分即将清零的有关提示！请市民抓紧兑换,https://www.thepaper.cn/newsDetail_forward_33416175,2026-06-19 01:55:00,青浦卫计新声
日喀则市跨境电商专题培训班赴沪学习圆满结束,https://www.thepaper.cn/newsDetail_forward_33416023,2026-06-19 01:51:00,上海援藏
上海援藏祝您端午安康，扎西德勒！,https://www.thepaper.cn/newsDetail_forward_33414873,2026-06-19 01:51:00,上海援藏
2026崇明端午季热闹启幕，传统民俗点亮生态岛佳节,https://www.thepaper.cn/newsDetail_forward_33416568,2026-06-19 01:42:00,上海崇明
黄浦区政协祝大家端午安康！,https://www.thepaper.cn/newsDetail_forward_33416305,2026-06-19 01:30:00,黄浦区政协
第31届上海电视节官方日程,https://www.thepaper.cn/newsDetail_forward_33409457,2026-06-19 01:12:36,骨朵网络影视
金山新增一个“办事点”，启动时间是…,https://www.thepaper.cn/newsDetail_forward_33416337,2026-06-19 01:00:00,i金山
端午档新片云集！奉贤影院推出考生观影优惠,https://www.thepaper.cn/newsDetail_forward_33416334,2026-06-19 00:44:00,上海奉贤
上海瑞金医院放射科陈佳艺访谈（上）,https://www.thepaper.cn/newsDetail_forward_33410017,2026-06-19 00:38:28,医璐同行
