title,url,time,source
视频|第五位诺贝尔物理学奖女性得主点赞：这次几乎都是女性提问,https://www.jfdaily.com/news/detail?id=1099057,2026-04-19 08:56:44,自采原创
美方评估伊朗仍保有约七成战前导弹库存,https://www.jfdaily.com/news/detail?id=1099156,2026-04-19 08:55:23,转载摘编
造谣“应县木塔将全部拆卸落地大修”的主播，被处罚,https://www.jfdaily.com/news/detail?id=1099154,2026-04-19 08:52:18,转载摘编
痛心！35岁孕妇吃冰箱剩菜后去世！“离开时刚过完生日两天”，赶紧自查,https://www.jfdaily.com/news/detail?id=1099153,2026-04-19 08:46:22,整合改编
阿拉“沪超”超好玩｜“洋面孔”也爱打乒乓，浦东万人挥拍，让徐寅生深受感动,https://www.jfdaily.com/news/detail?id=1099097,2026-04-19 08:37:26,自采原创
阿拉“沪超”超好玩｜台胞爸爸带着儿女“一道乒”，乒乓传情两岸一家亲,https://www.jfdaily.com/news/detail?id=1099050,2026-04-19 08:37:16,自采原创
上海市大学生高尔夫球锦标赛决胜,https://www.jfdaily.com/news/detail?id=1099077,2026-04-19 08:36:27,自采原创
巴基斯坦伊斯兰堡两大酒店通知住客离店,https://www.jfdaily.com/news/detail?id=1099152,2026-04-19 08:34:01,转载摘编
美国华盛顿州一大型炼油厂发生事故，至少4人受伤,https://www.jfdaily.com/news/detail?id=1099151,2026-04-19 08:33:31,转载摘编
上海11区一道“乒”了！世界冠军都来了，你在现场吗？,https://www.jfdaily.com/news/detail?id=1099143,2026-04-19 08:27:38,自采原创
广西百色5岁走失男童已不幸身亡，当地通报,https://www.jfdaily.com/news/detail?id=1099139,2026-04-19 08:08:54,转载摘编
5月将迎中等及以上强度“厄尔尼诺”,https://www.jfdaily.com/news/detail?id=1099134,2026-04-19 07:54:32,转载摘编
哈里斯：美国人不想打伊朗，特朗普意图“转移焦点”,https://www.jfdaily.com/news/detail?id=1099132,2026-04-19 07:52:05,转载摘编
在金山吕巷，这个国家级非遗有了“新家”,https://www.jfdaily.com/news/detail?id=1099079,2026-04-19 07:51:37,自采原创
在“热带雨林”式大棚内现捕现烹，沪郊小龙虾垂钓节等你来“虾”闹,https://www.jfdaily.com/news/detail?id=1099073,2026-04-19 07:51:30,自采原创
上海启动这场红色文创设计大赛，已面向全社会征集作品,https://www.jfdaily.com/news/detail?id=1099101,2026-04-19 07:46:23,自采原创
万岁山武侠城致歉！突遇大风，杨树树枝意外断裂，致三名游客受伤,https://www.jfdaily.com/news/detail?id=1099120,2026-04-19 07:38:49,整合改编
早茶配春景！泰州春季客流迎高峰，上海游客同比增长三成,https://www.jfdaily.com/news/detail?id=1099080,2026-04-19 07:38:04,自采原创
全国70%的蟹苗产自盐城射阳，背后有上海高校科研加持,https://www.jfdaily.com/news/detail?id=1099090,2026-04-19 07:35:55,自采原创
巴西总统批评美国非法干涉他国内政,https://www.jfdaily.com/news/detail?id=1099119,2026-04-19 07:18:20,转载摘编
“奶奶们的手艺”有多惊艳？祖辈女性手工艺术展览在城市角落萌芽,https://www.jfdaily.com/news/detail?id=1098833,2026-04-19 07:17:39,自采原创
五一假期火车票开售以来，12306拒绝出票105.6万张遏制恶意抢票,https://www.jfdaily.com/news/detail?id=1099118,2026-04-19 07:12:57,转载摘编
机器人半马成绩超人类世界纪录，对人类有什么用？,https://www.jfdaily.com/news/detail?id=1099103,2026-04-19 07:08:06,自采原创
一项赛事一扇“窗”，上帆“上海推荐官”诞生记,https://www.jfdaily.com/news/detail?id=1099115,2026-04-19 07:05:15,自采原创
6瓶28年“陈酿”售268元？起底直播间“名品老酒”造假产业链,https://www.jfdaily.com/news/detail?id=1099114,2026-04-19 07:04:03,转载摘编
【新思想引领新征程】推进数字中国建设 打造高质量发展新引擎,https://www.jfdaily.com/news/detail?id=1099109,2026-04-19 06:49:51,转载摘编
人民之心·总书记谈政绩观①丨一词一观：为人民,https://www.jfdaily.com/news/detail?id=1099110,2026-04-19 06:49:20,转载摘编
“让互联网更好造福人民”,https://www.jfdaily.com/news/detail?id=1099108,2026-04-19 06:48:49,转载摘编
冯骥才：读书使人强大,https://www.jfdaily.com/news/detail?id=1098418,2026-04-19 06:46:41,自采原创
上海珍档｜读史老张：四马路菜场的喧嚣与风流,https://www.jfdaily.com/news/detail?id=1098432,2026-04-19 06:45:47,自采原创
徐炯：在喧哗中找到自己的声音,https://www.jfdaily.com/news/detail?id=1098762,2026-04-19 06:41:50,自采原创
大家都在搜的“爱·新生”花园原来是红房子医院造的，就在新天地，美翻了,https://www.jfdaily.com/news/detail?id=1099096,2026-04-19 06:40:57,自采原创
新民艺评｜程姣姣：不再“借船出海”——看评弹团《金珍与白猫》的原创底气,https://www.jfdaily.com/news/detail?id=1098072,2026-04-19 06:39:29,自采原创
歌唱春天，拍摄春天——“2026上海K歌王争霸赛”唱响,https://www.jfdaily.com/news/detail?id=1099020,2026-04-19 06:33:00,自采原创
十日谈·悦读悦心悦人｜夏琦：因为一间书店爱上一座城市,https://www.jfdaily.com/news/detail?id=1098425,2026-04-19 06:31:47,自采原创
福建南安一车辆逆行撞人致2死1伤，肇事者已被控制,https://www.jfdaily.com/news/detail?id=1099107,2026-04-19 06:31:34,转载摘编
早防早筛早治，同心携手抗癌——守护百姓健康的“第一道防线”,https://www.jfdaily.com/news/detail?id=1098878,2026-04-19 06:30:08,自采原创
竞技与生态美美与共，2026长三角国际铁人三项赛圆满落幕,https://www.jfdaily.com/news/detail?id=1099081,2026-04-19 06:29:54,自采原创
男子无证驾驶违规载妻，致妻子意外身亡！向违停车索赔124万元，法院判了,https://www.jfdaily.com/news/detail?id=1099106,2026-04-19 06:29:17,整合改编
国艺·新尚｜创新设计带来的便捷,https://www.jfdaily.com/news/detail?id=1098781,2026-04-19 06:28:04,自采原创
王辉城：永恒的一瞬,https://www.jfdaily.com/news/detail?id=1098868,2026-04-19 06:27:50,自采原创
4·20痛风日：别等“痛”了，才看懂尿酸,https://www.jfdaily.com/news/detail?id=1099063,2026-04-19 06:27:22,自采原创
英国王室指定伊丽莎白二世官方传记作者,https://www.jfdaily.com/news/detail?id=1099105,2026-04-19 06:24:56,转载摘编
日本将向澳大利亚出口“最上”级护卫舰：装备防空和反舰导弹，具有反潜作战能力,https://www.jfdaily.com/news/detail?id=1099104,2026-04-19 06:20:08,转载摘编
孙俪新剧让人好上头！这些取景地全部在上海，你去过吗？,https://www.jfdaily.com/news/detail?id=1099045,2026-04-19 06:00:02,整合改编
